date,tco
1997/09/26 00:00:00,9.701
1997/09/29 00:00:00,9.71
1997/09/30 00:00:00,9.713
1997/10/01 00:00:00,9.716
1997/10/02 00:00:00,9.7191
1997/10/03 00:00:00,9.7221
1997/10/06 00:00:00,9.7311
1997/10/07 00:00:00,9.7342
1997/10/08 00:00:00,9.7372
1997/10/09 00:00:00,9.7402
1997/10/10 00:00:00,9.7432
1997/10/13 00:00:00,9.7523
1997/10/14 00:00:00,9.7553
1997/10/15 00:00:00,9.7584
1997/10/16 00:00:00,9.7614
1997/10/17 00:00:00,9.7644
1997/10/20 00:00:00,9.7735
1997/10/21 00:00:00,9.7766
1997/10/22 00:00:00,9.7796
1997/10/23 00:00:00,9.7826
1997/10/24 00:00:00,9.7857
1997/10/27 00:00:00,9.7948
1997/10/28 00:00:00,9.7978
1997/10/29 00:00:00,9.8009
1997/10/30 00:00:00,9.8039
1997/10/31 00:00:00,9.807
1997/11/03 00:00:00,9.8161
1997/11/04 00:00:00,9.8191
1997/11/05 00:00:00,9.8222
1997/11/06 00:00:00,9.8252
1997/11/07 00:00:00,9.8283
1997/11/10 00:00:00,9.8375
1997/11/11 00:00:00,9.8405
1997/11/12 00:00:00,9.8436
1997/11/13 00:00:00,9.8466
1997/11/14 00:00:00,9.8497
1997/11/17 00:00:00,9.8589
1997/11/18 00:00:00,9.8619
1997/11/19 00:00:00,9.865
1997/11/20 00:00:00,9.868
1997/11/21 00:00:00,9.8711
1997/11/24 00:00:00,9.8803
1997/11/25 00:00:00,9.8834
1997/11/26 00:00:00,9.8864
1997/11/27 00:00:00,9.8895
1997/11/28 00:00:00,9.8926
1997/11/29 00:00:00,9.8957
1997/11/30 00:00:00,9.8987
1997/12/01 00:00:00,9.9018
1997/12/02 00:00:00,9.9049
1997/12/03 00:00:00,9.908
1997/12/04 00:00:00,9.911
1997/12/05 00:00:00,9.9141
1997/12/09 00:00:00,9.9264
1997/12/10 00:00:00,9.9295
1997/12/11 00:00:00,9.9326
1997/12/12 00:00:00,9.9357
1997/12/15 00:00:00,9.9449
1997/12/16 00:00:00,9.948
1997/12/17 00:00:00,9.9511
1997/12/18 00:00:00,9.9542
1997/12/19 00:00:00,9.9573
1997/12/22 00:00:00,9.9666
1997/12/23 00:00:00,9.9697
1997/12/24 00:00:00,9.9728
1997/12/26 00:00:00,9.979
1997/12/29 00:00:00,9.9883
1997/12/30 00:00:00,9.9914
1997/12/31 00:00:00,9.9945
1998/01/02 00:00:00,10.0007
1998/01/05 00:00:00,10.01
1998/01/06 00:00:00,10.0131
1998/01/07 00:00:00,10.0162
1998/01/08 00:00:00,10.0193
1998/01/09 00:00:00,10.0224
1998/01/12 00:00:00,10.0318
1998/01/13 00:00:00,10.0349
1998/01/14 00:00:00,10.038
1998/01/15 00:00:00,10.0411
1998/01/16 00:00:00,10.0442
1998/01/19 00:00:00,10.0536
1998/01/20 00:00:00,10.0567
1998/01/21 00:00:00,10.0599
1998/01/22 00:00:00,10.063
1998/01/23 00:00:00,10.0661
1998/01/26 00:00:00,10.0755
1998/01/27 00:00:00,10.0786
1998/01/28 00:00:00,10.0817
1998/01/29 00:00:00,10.0849
1998/01/30 00:00:00,10.088
1998/01/31 00:00:00,10.0911
1998/02/02 00:00:00,10.0974
1998/02/03 00:00:00,10.1005
1998/02/04 00:00:00,10.1037
1998/02/05 00:00:00,10.1068
1998/02/06 00:00:00,10.11
1998/02/09 00:00:00,10.1194
1998/02/10 00:00:00,10.1225
1998/02/11 00:00:00,10.1257
1998/02/12 00:00:00,10.1288
1998/02/13 00:00:00,10.1319
1998/02/16 00:00:00,10.1414
1998/02/17 00:00:00,10.1445
1998/02/18 00:00:00,10.1477
1998/02/19 00:00:00,10.1508
1998/02/20 00:00:00,10.154
1998/02/23 00:00:00,10.1635
1998/02/24 00:00:00,10.1666
1998/02/25 00:00:00,10.1698
1998/02/26 00:00:00,10.1729
1998/02/27 00:00:00,10.1761
1998/02/28 00:00:00,10.1792
1998/03/02 00:00:00,10.1856
1998/03/03 00:00:00,10.1887
1998/03/04 00:00:00,10.1919
1998/03/05 00:00:00,10.1951
1998/03/06 00:00:00,10.1982
1998/03/09 00:00:00,10.2077
1998/03/10 00:00:00,10.2109
1998/03/11 00:00:00,10.2141
1998/03/12 00:00:00,10.2172
1998/03/13 00:00:00,10.2204
1998/03/16 00:00:00,10.2299
1998/03/17 00:00:00,10.2331
1998/03/18 00:00:00,10.2363
1998/03/19 00:00:00,10.2395
1998/03/20 00:00:00,10.2427
1998/03/23 00:00:00,10.2522
1998/03/24 00:00:00,10.2554
1998/03/25 00:00:00,10.2586
1998/03/26 00:00:00,10.2618
1998/03/27 00:00:00,10.2649
1998/03/30 00:00:00,10.2745
1998/03/31 00:00:00,10.2777
1998/04/01 00:00:00,10.2809
1998/04/02 00:00:00,10.2841
1998/04/03 00:00:00,10.2873
