date,code,conc,type,stock_cord,stock_usd,flow_cord,flow_usd
2012-06-01,dai,DAI,ejecutado,748371881.3,31981318,381433579.98999995,16300383.6
2012-09-01,dai,DAI,ejecutado,1168514010.27,49330491,420142128.97,17736901
2012-12-01,dai,DAI,ejecutado,1660949441.59,69264653,492435431.31999993,20535465.1
2013-03-01,dai,DAI,ejecutado,394740648.94,16262659,394740648.94,16262659
2013-06-01,dai,DAI,ejecutado,808834694.11,32921964,414094045.17,16854852.1
2013-09-01,dai,DAI,ejecutado,1239130907.12,49823153,430296213.0099999,17301411.9
2013-12-01,dai,DAI,ejecutado,1717368528.87,68208206,478237621.75,18994018.9
2014-03-01,dai,DAI,ejecutado,408474476.72,16027111,408474476.72,16027111.4
2014-06-01,dai,DAI,ejecutado,828010932.8,32097609,419536456.0799999,16263211.5
2014-09-01,dai,DAI,ejecutado,1283680059.35,49156572,455669126.54999995,17449154.9
2014-12-01,dai,DAI,ejecutado,1827832404.54,69138545,544152345.19,20582796
2015-03-01,dai,DAI,ejecutado,451295487.6,16864060,451295487.6,16864060.5
2015-06-01,dai,DAI,ejecutado,938506151.82,34648495,487210664.22,17987219.6
2015-09-01,dai,DAI,ejecutado,1485388011.68,54172065,546881859.86,19944768.2
2015-12-01,dai,DAI,ejecutado,2155126303.44,77636726,669738291.76,24126793.8
2016-03-01,dai,DAI,ejecutado,557503882.75,19839834,557503882.75,19839833.7
2016-06-01,dai,DAI,ejecutado,1164002024.93,40923749,606498142.1800001,21323139.8
2016-09-01,dai,DAI,ejecutado,1800383754.97,62530142,636381730.04,22102532.2
2016-12-01,dai,DAI,ejecutado,2508652357.05,86067371,708268602.0800002,24299427.8
2017-03-01,dai,DAI,ejecutado,584752068.01,19819575,584752068.01,19819574.9
2017-06-01,dai,DAI,ejecutado,1181774535.24,39573400,597022467.23,19992146
2017-09-01,dai,DAI,ejecutado,1819991117.5,60204097,638216582.26,21111780.5
2017-12-01,dai,DAI,ejecutado,2623449659.76,85721290,803458542.2600002,26253029.9
2018-03-01,dai,DAI,ejecutado,608238077.31,19633912,608238077.31,19633912.4
2018-06-01,dai,DAI,ejecutado,1105065791.78,35242570,496827714.47,15844744.8
2018-09-01,dai,DAI,ejecutado,1472092144.57,46376985,367026352.78999996,11562846.5
2018-12-01,dai,DAI,ejecutado,1970928256.52,61333447,498836111.95000005,15523314
