date,concept,type,stock_cord,stock_usd,flow_cord,flow_usd
2005-06-01,Gasto de consumo,ejecutado,2565045036.49,154253614,1441340370.8399997,86677605.2
2005-09-01,Gasto de consumo,ejecutado,3963769068.67,235449594,1398724032.1800003,83084811.5
2005-12-01,Gasto de consumo,ejecutado,5972788594.77,350481177,2009019526.1000004,117888573.6
2006-03-01,Gasto de consumo,ejecutado,1425993320.86,82665145,1425993320.86,82665145.3
2006-06-01,Gasto de consumo,ejecutado,3114212769.86,178360715,1688219449.0000002,96689613
2006-09-01,Gasto de consumo,ejecutado,4919087221.58,278306715,1804874451.7199998,102114204.8
2006-12-01,Gasto de consumo,ejecutado,7683266883.93,429382059,2764179662.3500004,154477147.9
2007-03-01,Gasto de consumo,ejecutado,1980605435.87,109348674,1980605435.87,109348673.9
2007-06-01,Gasto de consumo,ejecutado,3904369265.73,212967132,1923763829.8600001,104933329.4
2007-09-01,Gasto de consumo,ejecutado,6338679715.55,341545554,2434310449.82,131167364.4
2007-12-01,Gasto de consumo,ejecutado,9815360601.37,522414480,3476680885.8200006,185043475.2
2008-03-01,Gasto de consumo,ejecutado,2664363729.87,140087039,2664363729.87,140087038.9
2008-06-01,Gasto de consumo,ejecutado,6085310545.99,316095867,3420946816.12,177697940.1
2008-09-01,Gasto de consumo,ejecutado,9515068733.34,488259541,3429758187.3500004,175995802.7
2008-12-01,Gasto de consumo,ejecutado,13853655649.25,702225802,4338586915.91,219917959.1
2009-03-01,Gasto de consumo,ejecutado,3456468388.74,173089015,3456468388.74,173089014.9
2009-06-01,Gasto de consumo,ejecutado,6748674399.29,333888666,3292206010.55,162880916.9
2009-09-01,Gasto de consumo,ejecutado,10179331629.29,497497004,3430657230.000001,167667363.3
2009-12-01,Gasto de consumo,ejecutado,14852958530.94,717039786,4673626901.65,225623496.2
2010-03-01,Gasto de consumo,ejecutado,3963415789.54,189024152,3963415789.54,189024152.3
2010-06-01,Gasto de consumo,ejecutado,6986742432.96,329206574,3023326643.42,142455373.9
2010-09-01,Gasto de consumo,ejecutado,10484057446.15,487990503,3497315013.1899996,162785879.4
2010-12-01,Gasto de consumo,ejecutado,15510052758.22,713106551,5025995312.07,231080463.6
2011-03-01,Gasto de consumo,ejecutado,3862959231.29,175460146,3862959231.29,175460145.9
2011-06-01,Gasto de consumo,ejecutado,8007120687.88,359319603,4144161456.59,185969277.8
2011-09-01,Gasto de consumo,ejecutado,12554328765.96,556526908,4547208078.079999,201575384.6
2011-12-01,Gasto de consumo,ejecutado,18287015818.24,800745616,5732687052.280003,251020946.8
2012-03-01,Gasto de consumo,ejecutado,5315349911.56,229921267,5315349911.56,229921266.8
2012-06-01,Gasto de consumo,ejecutado,9273017060.46,396277998,3957667148.8999987,169129033.5
2012-09-01,Gasto de consumo,ejecutado,14012131485.21,591542175,4739114424.75,200068494.8
